Rk,G,Date,Age,Tm,,Opp,,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
1,1,2016-10-26,21-040,ORL,,MIA,L (-12),1,35:06,5,12,.417,2,3,.667,0,0,,2,6,8,4,1,1,3,1,12,9.9,-11
2,2,2016-10-28,21-042,ORL,@,DET,L (-26),1,29:09,6,12,.500,1,2,.500,4,6,.667,3,4,7,0,2,0,1,3,17,13.3,-10
3,3,2016-10-29,21-043,ORL,@,CLE,L (-6),1,25:34,3,7,.429,1,3,.333,1,2,.500,0,3,3,2,3,1,2,3,8,6.7,-21
4,4,2016-11-01,21-046,ORL,@,PHI,W (+2),1,31:38,3,10,.300,0,4,.000,1,1,1.000,1,1,2,4,3,0,2,1,7,5.6,+11
5,5,2016-11-03,21-048,ORL,,SAC,W (+8),1,30:43,5,10,.500,1,3,.333,2,3,.667,3,7,10,3,1,1,1,3,13,13.4,+2
6,6,2016-11-05,21-050,ORL,,WAS,W (+2),1,24:27,3,7,.429,2,4,.500,1,2,.500,1,3,4,4,0,1,0,1,9,9.6,-20
7,7,2016-11-07,21-052,ORL,@,CHI,L (-32),1,30:26,6,15,.400,1,4,.250,2,2,1.000,1,3,4,4,1,1,1,2,15,11.2,-7
8,8,2016-11-09,21-054,ORL,,MIN,L (-16),1,30:38,2,9,.222,0,3,.000,3,4,.750,1,3,4,0,0,1,1,2,7,1.6,-13
9,9,2016-11-11,21-056,ORL,,UTA,L (-13),0,24:34,4,9,.444,0,1,.000,1,2,.500,1,6,7,1,2,2,0,1,9,10.1,0
10,10,2016-11-13,21-058,ORL,@,OKC,W (+2),0,21:34,5,9,.556,1,3,.333,1,1,1.000,0,1,1,1,0,0,1,3,12,6.5,-2
11,11,2016-11-14,21-059,ORL,@,IND,L (-19),0,22:03,5,11,.455,1,4,.250,0,0,,0,3,3,1,0,0,0,1,11,6.5,0
12,12,2016-11-16,21-061,ORL,,NOP,W (+7),0,26:10,4,11,.364,1,2,.500,1,3,.333,0,4,4,3,1,1,1,1,10,6.7,+12
